label,tweet,label_id

random,I've got enough candles to supply a Mexican family,7

2012_Sandy_Hurricane,Sandy be soooo mad that she be shattering our doors and shiet #HurricaneSandy,1

random,@ibexgirl thankfully Hurricane Waugh played it cool and waited this one out. Ready to go at any moment tho.,7

random,@taos you never got that magnificent case of Burgundy I sent you to thank you for your tweets?,7

random,"I'm at Mad River Bar &amp; Grille (New York, NY) http://t.co/VSiZrzKP",7

2012_Sandy_Hurricane,Neighborly duties. @Cory_Kennedy arrives to the rescue sporting some spelunking equipment #sandy @ 300 Squad http://t.co/QbpGdm3w,1

random,And that's it until the spring.,7

2012_Sandy_Hurricane,I don't know how I'm getting back to Jersey since the trains and subways aren't running...,1

random,"@NaeemPeena We were asked to get off the plane, after checkin and boarding passes",7

random,@jaytee_96 you must be crazy! &amp; omg you tweeted something yay lol,7

2012_Sandy_Hurricane,Already flooded so much #SANDY @ Hoboken http://t.co/MPhft4a8,1

random,@eloreeeeeee need me to comeback and finish it since I was supposed to sleep over and then I woulda finished,7

2012_Sandy_Hurricane,"On that note, i pray that everyone stays safe, and keeps a positive attitude ! #godisgood",1

2012_Sandy_Hurricane,@codyfinz my house is creeking... Does that mean she's trying to break in?,1

random,My mom just found my little sister screaming out of her window in a random language to animals #onlymyfamily,7

random,RT @FrankIero: Droplets of water is literally falling from the sky. #FrankenstormLIVE!,7

random,@NevaTRUST_Again I Dnt No If She Gonna Let Me,7

random,@jennettemccurdy @noahmunck He's got that kinda spec ops rugged looks,7

2012_Sandy_Hurricane,debating going home in prep for #sandy,1

random,"@viamadison Thanks, babe. We all appreciate it. :) x",7

random,I can't taste my damn food .,7

2012_Sandy_Hurricane,By 11am it's going to be 100% chance of rain #HurricaneSandy,1

random,Big Daddy Deco ready for this Halloween party http://t.co/grKxmXPV,7

random,@MSLWILLSEE loll I don't know your twitter name anymore it doesn't popup when I type for name,7

random,@lisanewmn I do it all the time. Don't hate me! :),7

2012_Sandy_Hurricane,@newscaster we are 5 blocks from the water. First two blocks were evacuated. Sounds like a train just went by. Stay safe! Thanks.,1

2012_Sandy_Hurricane,"It's crazy out there, not gonna lie I'm kind of scared.",1

2012_Sandy_Hurricane,@israilov1012 god bless them ! Lmao the wind calmed down a little so thats good,1

random,No sooner then my last tweet did I receive this text http://t.co/X7sLiyzt,7

random,@mike_cucci queen duck face    ((((I can't do dick face so tongue works too right?))))) http://t.co/UjGnXfiP,7

random,Off to try to find a kids phone I have no idea why he wanted until now to look for it #huh,7

2012_Sandy_Hurricane,One more shower before the power goes out lol,1

2012_Sandy_Hurricane,"@marcushasfun- u were a guest star in my dream last night, &amp; 2day I noticed Marcus Garvey Park on a NYC #hurricane map! http://t.co/LQ2Kpif0",1

2012_Sandy_Hurricane,"Word to the wise, make sure you have cash on u in case of a prolonged power outage &amp; charge all ur phones, iPads, etc.",1

random,#GottaAceMySATexam : OH LORD: wish my cousin found this previously http://t.co/umUM2hzE ya better get this #Top10FavoriteSongs kvb,7

random,@victoriaaa0x haha I was gonna say how can u not wanna stay with Martha ?!,7

random,@jackmackenroth: I'm bored so I'm gonna go outside and get a blow job #HurricaneSandy,7

random,Yo ref his hand is outta bounds,7

2012_Sandy_Hurricane,Stop with this silly snow hoax. We all know this is a global warming hurricane... @slackadjuster @severestudios @reedtimmerTVN,1

random,This is what it look like out my window  @ WeedTopia ! =} http://t.co/ca1HBCtc,7

random,@Hayleyshammock shopping fun! ;)  it should be like this then start to gradually get worse..but will keep u up2date! @ see what goes on..,7

random,I'm debating if I should take you homeeee .,7

2012_Sandy_Hurricane,Emily's air mattress is our Noah's Ark. Two of every type (of boxed wine) #sandy,1

random,Checking the city here in Brooklyn  http://t.co/ESLzKZm7,7

random,Holy shit it must be the end of the world when not even best buy is opening. Day offf,7

random,"just because you can't, doesn't mean i can't",7

2012_Sandy_Hurricane,When the lights in the elevator you're in go out and you're stuck in darkness #hurricanesandy,1

random,#SATstudyTime : WOW.. wish my boys found that earlier http://t.co/BmrBPwYv hurry before its unavailable Des Moines Register bwy,7

random,@TheFatLadyRaps but you love me... And u ugg,7

random,"@judyrey Same thing in Queens, I have siding hanging from my house. Where r u?",7

random,"@OredRocAnn holy shit, your block or the next one?",7

2012_Sandy_Hurricane,The Statue of Liberty as seen from near Battery Park. #sandy #hurricanesandy  @ Battery Park City http://t.co/0MZy2IXX,1

random,"Channel surfing, and relaxing with my green goodies. I wanna go for a walk, but not feeling flying away like #MaryPoppins or some shit.",7

2012_Sandy_Hurricane,I wanna go to the beach but I don't wanna die,1

2012_Sandy_Hurricane,RT @KatEdorsson: #SANDY &amp; #A-ROD Damn dude... What is this world coming too http://t.co/GZgV9jnM     too funny LOL!!,1

2012_Sandy_Hurricane,"@nicoledandrea yea, just hoping my windows hold. They're shaking but they're all new so fingers crossed. Hope all is well on your end",1

random,"Today i had more fun then i have in the longest time,",7

random,@CocoCrunchMB Hi P'! Your going to do great today :D Love you! &lt;3,7

2012_Sandy_Hurricane,Water levels be rising!!! (@ Long Island City Piers) [pic]: http://t.co/D9VVuCPo,1

2012_Sandy_Hurricane,"dearest @andre_kamp, i love you. wish you were in the storm with us. http://t.co/f4ehKQQA",1

random,Stfup...! Nobody likes your shit anyways....!! ___ likes to talk shit ALOT !   Lmfao,7

2012_Sandy_Hurricane,BREAKING: RT @youranonnews: #NYC #Sandy - FDNY on scanner confirmed fuel leak contamination. Drink bottled water. Boiling will not help.,1

random,@MikeyDeleasa thank you for posting that! Is it gonna be rescheduled?,7

2012_Sandy_Hurricane,My power keep goin in and out,1

random,My whole street is BLACK,7

random,"@shalomshuli Dude...you are CRUSHING on Howard!  I'm listening on demand right now.  Shalom, mother effer!  ~Sal ( from Raw Dog)",7

2012_Sandy_Hurricane,@Max_D_tho smokin during a hurricane is hard as hell lol,1

random,"tonight I'm gonna dance for all that we've been through, but I don't wanna dance if I'm not dancing with you.",7

2012_Sandy_Hurricane,Things are bad out there @ West Orange Police Dept http://t.co/elNnbJwG,1

2012_Sandy_Hurricane,"If only I was stormed in with @Twink_ie &amp; @GiBaby_ My only survival needs. Stay safe, love you",1

random,@Wimblaaa what!? Malteses are cute!! http://t.co/bbYpEvBA,7

random,Well I was the only sober one at the party at least I won't have a #hangover #suckstosuck,7

random,Everyone and their mothers are at home depot,7

random,@ant_decicco I wanna check it out!,7

random,I'm too nice at FIFA!!!!!!,7

random,So much to do..in such short time ; must not be lazy!! AHJA,7

random,Sicilia ubd !!! #HaveToAceMySATexam .. ..better get it while u can http://t.co/2OZUsia8,7

2012_Sandy_Hurricane,Power's been cut to lower Manhattan and our lights are flickering....!,1

random,"My mom told me I could have whoever I want sleep over, it's a little late mom",7

2012_Sandy_Hurricane,Pre Sandy Calm @ Patsy &amp; Eddie's Boli-Stoli Factory http://t.co/2zE2rPiN,1

2012_Sandy_Hurricane,Guys!!!! It's getting really bad out there now!!! Hope everyone  @ Frankenstorm Apocalypse - Hurricane Sandy http://t.co/sRvSO8kj,1

random,GIANTS!!! Congratulations. What a season!,7

random,"I have so much ammo, I'm gunna kill all the babies- @Zaine_O_Mac",7

random,@pweetytinu am Gud and u,7

2012_Sandy_Hurricane,good bye Astoria #hurricanesandy on the way @ Astoria Park http://t.co/WBqWIqHU,1

random,"@AbbieBradyD it's not a memo you wanted to be on, trust me",7

random,Oh dear Sandy.. #Home #IgnorantShit #LookingLikeIm13 #SuperAsian  @ Somewhere in my world http://t.co/axBvzhzV,7

random,@ZMars89 to be honest with you. I don't remember peeing infront of his house ever..,7

random,sandy can't stop me from getting my owab,7

random,NO WE DO NOT HAVE FUCKING ICE !!!  GO THE FUCK HOME !,7

2012_Sandy_Hurricane,Hide yo kids hide yo wives #Sandy,1

random,Are you Don Drapers wife?  BOoM #halloween2012 #madmen http://t.co/ioBGXliU,7

2012_Sandy_Hurricane,Ok - goodbye New Yorkers. I'm outta here! Good luck with the #frankenstorm and stuff...,1

random,#GottaAceMySATexam .. OH LORD: I really wish we found that previously http://t.co/rbnRHSAj ya better get this #TallGirlAppreciationDay pzk,7

2012_Sandy_Hurricane,And out goes my power,1

random,"#RT_ @shakira says: I'm something you'll regret losing, I can promise you that much.",7

random,"@4SHOCinCity so far good, I'm part of emergency staff, I just happen to have day off!",7

2012_Sandy_Hurricane,"I dont even care about the power, I just want this storm to be over",1

2012_Sandy_Hurricane,Really don't mind this sandy thing unless the power goes out,1

2012_Sandy_Hurricane,@stephennyr89 cause I seen people post pictures of flooding &amp; puddles .. Didnt know what was going on out there haha,1

random,Tree Trimming in Nee Jersey http://t.co/SnvLYuLp,7

random,I honestly hate the Volkswagen commercial with the dude singing in the black car,7

2012_Sandy_Hurricane,Oh my god there's an emergency alert in my area I'm fucking scared http://t.co/h5ZoNDkG,1

2012_Sandy_Hurricane,@jacquelinetweet we just happen to be surrounding a tray of vodka Kelly right now while sheltering in our building haha #hurricanefestival,1

random,I want 1st marking period to end already!,7

random,@s_mehalick: Why won't my friends text me?,7

random,This guy Skelton had the job in week 1. Got hurt. Kolb leads them to 4-2 n skelton comes is and is just HORRIFIC,7

2012_Sandy_Hurricane,@SwagisLethal But around 6-8pm with the high tide we will have bad flooding,1

2012_Sandy_Hurricane,@Prarthana_xo I have electricity come over later,1

random,I feel like If we Fall apart You Wouldn't Care. &lt;\3 :(,7

random,@JAZMINrazzles My Soul To Take (:,7

random,"Its sad, when you can't trust someone you involve with",7

random,I'm tighter than a virgin right now since i can't text &lt;&lt;&lt;,7

random,Baby all I need is on,7

2012_Sandy_Hurricane,Can't believe one of the twitter accounts for the hurricane is actually tweeting/promoting4Obama. Be funny bout the storm not talk politics,1

random,@XO_kimx3: #ToMyFutureDaughter you will play softball,7

random,@SBedard23 sounds great love you guys !!,7

random,Teaching your little siblings how to actually be a decent human bieng,7

random,@ufouria_ I don't even like candy so I don't know man lmfao,7

random,Why does my twitter randomly favorite other people tweets #sorryguys,7

random,"@Vikeologist we're a cbs owned and operated station. NY needed crews, we came!",7

random,He ain't nothing like the boy I used to know.,7

random,My first step in MY :) (@ New York Penn Station w/ 79 others) [pic]: http://t.co/X3ZqCD9p,7

random,"@Nikki_217 @_wonderrwoman flounder is just a buzz kill, Arial cannot be tamed. #fucksafety",7

random,!!!!!!!@XSTROLOGY: #Aries cannot stand stagnant relationships. If shit gets boring they will wander.,7

2012_Sandy_Hurricane,@Jikankun @ManaPuddingFox no power in town. both doing fine. driving sucks.,1

random,They can just throw me a couple hundred .,7

2012_Sandy_Hurricane,Lots of people out in #BayRidge #Brooklyn checking out the storm damage. #sandy #sandyaftermath,1

random,about to beg my mom to let me throw down,7

2012_Sandy_Hurricane,"No power, out driving the jeep and charging my phone. Trees down, Does not look like are getting power anytime soon.",1

random,First day of #nnguw started with Mobile Websites and Apps today. So far so good!,7

2012_Sandy_Hurricane,The hurricane updates are most interesting than the Jets games.,1

random,@mikesvehla come to bayonne son,7

random,Marcus Lattimore man prayers up for u man keep fighting South Carolina #21 shyt was terrifying espi ally if you are a football playerlike me,7

2012_Sandy_Hurricane,I should of went to a hurricane sandy party..I'm so bored I'm tweeetin my biscuits off over here #bored #awake,1

random,@HenryEdmondson the big bear was on pix11 news and got interviewed,7

2012_Sandy_Hurricane,"No power, no problem! #blackout #sandy #eastvillagenyc #newyork #hurricanecowboys  @ East Village http://t.co/84LtDMIZ",1

random,@bree_cass this is from rob bc he doesn't have a smartphone at my house: coookkkieeeeeee!!,7

2012_Sandy_Hurricane,@toodopekay_ yea lets hope it pass us quick,1

